date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:11	242463/242463	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:12:00%20GMT	https://www.muscleandfitness.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/index.html	(from )
18:41:11	105/105	---MCZ	200	added ('OK')	text/plain	date:Thu,%2027%20Oct%202022%2013:12:00%20GMT	https://www.muscleandfitness.com/robots.txt		(from )
18:41:11	222/222	---M--	200	added ('OK')	text/css	etag:%2263320ea3-de%22	https://www.muscleandfitness.com/wp-content/mu-plugins/search/elasticpress/dist/css/related-posts-block-styles.min.css?m=1664224931g	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/mu-plugins/search/elasticpress/dist/css/related-posts-block-styles.min2574.css	(from https://www.muscleandfitness.com/)
18:41:11	150/150	---M--	405	error ('Not%20Allowed')	text/html	date:Thu,%2027%20Oct%202022%2013:12:01%20GMT	https://www.muscleandfitness.com/xmlrpc.php	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/xmlrpc.php	(from https://www.muscleandfitness.com/)
18:41:11	32988/32988	---M-Z	200	added ('OK')	image/x-icon	etag:W/%22631f67c2-80dc%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/images/favicon/favicon.ico	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/images/favicon/favicon.ico	(from https://www.muscleandfitness.com/)
18:41:12	1054/1054	---M-Z	200	added ('OK')	application/javascript	etag:W/%22631f67c1-41e%22	https://www.muscleandfitness.com/wp-content/themes/ajax-onload.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/ajax-onload.js	(from https://www.muscleandfitness.com/)
18:41:12	21028/21028	---M-Z	200	added ('OK')	font/woff2	etag:W/%226356c70c-5224%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/BarlowCondensed-SemiBold.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/BarlowCondensed-SemiBold.woff2	(from https://www.muscleandfitness.com/)
18:41:12	24956/24956	---M-Z	200	added ('OK')	font/woff2	etag:W/%226356c70c-617c%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/WorkSans-Medium.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/WorkSans-Medium.woff2	(from https://www.muscleandfitness.com/)
18:41:12	20036/20036	---M-Z	200	added ('OK')	font/woff2	etag:W/%226356c70c-4e44%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/BarlowCondensed-Regular.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/BarlowCondensed-Regular.woff2	(from https://www.muscleandfitness.com/)
18:41:13	23112/23112	---M-Z	200	added ('OK')	font/woff2	etag:W/%226356c70c-5a48%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/WorkSans-Regular.woff2	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/fonts/WorkSans-Regular.woff2	(from https://www.muscleandfitness.com/)
18:41:13	21748/21748	---M-Z	200	added ('OK')	application/javascript	etag:0x8DAB7C4F0198C8B	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.muscleandfitness.com/)
18:41:13	22075/22075	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2022%20Feb%202022%2022:01:18%20GMT	https://cdn.cookielaw.org/opt-out/otCCPAiab.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/cdn.cookielaw.org/opt-out/otCCPAiab.js	(from https://www.muscleandfitness.com/)
18:41:13	404974/404974	---M-Z	200	added ('OK')	application/javascript	etag:W/%22631f67c1-62dee%22	https://www.muscleandfitness.com/wp-content/client-mu-plugins/shared/includes/ami-gpt-pb-amazon/pb_2020_12_23_16_51_25.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/client-mu-plugins/shared/includes/ami-gpt-pb-amazon/pb_2020_12_23_16_51_25.js	(from https://www.muscleandfitness.com/)
18:41:18	181612/181612	---MCZ	200	added ('OK')	application/javascript	etag:W/%2201c8eeba2567f449d6736f5abe6106d3%22	http://c.amazon-adsystem.com/aax2/apstag.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/c.amazon-adsystem.com/aax2/apstag.js	(from https://www.muscleandfitness.com/)
18:41:18	242624/242624	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:12:04%20GMT	https://www.muscleandfitness.com/page/2/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/page/2/index.html	(from https://www.muscleandfitness.com/)
18:41:18	234873/234873	---MCZ	200	added ('OK')	text/xml	etag:W/%22bfbd04c7713017b74297997e1843b936%22	https://www.muscleandfitness.com/feed/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/feed/index.html	(from https://www.muscleandfitness.com/)
18:41:18	11534/11534	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2027%20Oct%202022%2013:12:05%20GMT	https://hbx.media.net/bidexchange.js?cid=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/hbx.media.net/bidexchange689f.js	(from https://www.muscleandfitness.com/)
18:41:18	358086/358086	---M-Z	200	added ('OK')	text/css	etag:W/%226356dea2-576c6%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/css/style.css?m=1666637474g	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/css/styled7c6.css	(from https://www.muscleandfitness.com/)
18:41:19	100749/100749	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2018%20Oct%202022%2013:30:39%20GMT	https://www.muscleandfitness.com/_static/??-eJzTLy/QzcxLzilNSS3WzwKiwtLUokoopZebmaeXVayjj0+Rbm5melFiSSpUsX2uraGZmZmBpaWFsWUWAK/EIjE=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/_static/indexf228.html	(from https://www.muscleandfitness.com/)
18:41:19	859/859	---MCZ	200	added ('OK')	text/xml	date:Thu,%2027%20Oct%202022%2013:12:09%20GMT	https://www.muscleandfitness.com/xmlrpc.php?rsd	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/xmlrpc0db0.php	(from https://www.muscleandfitness.com/)
18:41:20	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%22634eaa80-415%22	https://www.muscleandfitness.com/wp-includes/wlwmanifest.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-includes/wlwmanifest.xml	(from https://www.muscleandfitness.com/)
18:41:20	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Thu,%2027%20Oct%202022%2013:12:10%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.googletagmanager.com/gtm.105445.delayed	(from https://www.muscleandfitness.com/)
18:41:20	315296/315296	---MCZ	200	added ('OK')	application/json	date:Thu,%2027%20Oct%202022%2013:12:09%20GMT	https://www.muscleandfitness.com/wp-json/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-json/index.html	(from https://www.muscleandfitness.com/)
18:41:20	1281/1281	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%226356c70c-501%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/images/muscle-and-fitness-logo.svg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/images/muscle-and-fitness-logo.svg	(from https://www.muscleandfitness.com/)
18:41:20	171/171	---M--	200	added ('OK')	image/svg+xml	etag:%226356c70c-ab%22	https://www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/images/placeholders/default-muscleandfitness.svg	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/themes/muscle-and-fitness/assets/build/images/placeholders/default-muscleandfitness.svg	(from https://www.muscleandfitness.com/)
18:41:21	197447/197447	---M-Z	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:12:11%20GMT	https://www.muscleandfitness.com/workout-routines/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/workout-routines/index.html	(from https://www.muscleandfitness.com/)
18:41:21	192193/192193	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:12:11%20GMT	https://www.muscleandfitness.com/workouts/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/workouts/index.html	(from https://www.muscleandfitness.com/)
18:41:21	472141/472141	---M--	200	added ('OK')	image/jpeg	etag:%22f0c3125c447a8e53%22	https://www.muscleandfitness.com/wp-content/uploads/2019/09/Group-Ordering-Food-Restaurant-Waiter-Taking-Order.jpg?quality=86&strip=all	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/wp-content/uploads/2019/09/Group-Ordering-Food-Restaurant-Waiter-Taking-Order8a78.jpg	(from https://www.muscleandfitness.com/)
18:41:22	189613/189613	---MCZ	200	added ('OK')	text/html	date:Thu,%2027%20Oct%202022%2013:12:11%20GMT	https://www.muscleandfitness.com/workouts/workout-tips/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Day6/Web27/Site27/www.muscleandfitness.com/workouts/workout-tips/index.html	(from https://www.muscleandfitness.com/)
